,pid,Beryl,nclus,#pids
676,31811232-52ef-456c-9772-5021c00b2bc9,CA1,18,118
678,fa539f97-a078-4fc6-9a12-237799466d9c,SNr,15,14
686,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,PRNr,29,12
687,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,MRN,42,74
689,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,SCm,15,38
692,d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,MRN,12,74
693,d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,PAG,17,36
694,d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,SCm,10,38
696,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,PRNr,10,12
697,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,MRN,22,74
698,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,SCm,17,38
700,46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,MRN,18,74
701,46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,SCm,22,38
